id,khasi,english,part_of_speech,notes,page
120,At-kpoh,to have flatulence,Verb,,
121,Atiar,instrument; weapon,Noun,Loanword,
122,Atjalyngkhiang,glandular swelling,Noun,,
123,Atling,to swell all over,Verb,,
124,Atlyngkding,to swell (especially of the abdomen),Verb,,
125,Atmiang,to have the mumps,Verb,Disease,
126,Atmytung,to swell prominently,Verb,,
127,Atnud,to feel revengeful; to envy,Verb,,
128,At-pateng-pateng,to form swellings here and there,Verb,,
129,At-phyllung,to roll in waves,Verb,,
130,Atsohkhliang,to have an excrescence on the body,Verb,,
131,Ator,sweet scent; perfume,Noun,,
132,Atoskhana,chimney,Noun,,
133,At-top,to be dropsical,Verb,Medical,
134,Awal,voice; sound,Noun,,
135,Awat,voice; sound,Noun,Variant form,
136,Aw-aw,to cry or beg importunately,Adverb,Usually used with crying or pleading,
137,Awria,licentious; immoral,Adjective,,
138,Ba,that; for; since,Conjunction,Also functions as a prefix and suffix in Khasi grammar,
139,Ba,to flash; to give light,Verb,,
140,'ba,paddy (abbreviation of kba),Noun,,
141,Babe,to repent; to regret,Verb,,
142,Babha,good,Adjective,,
143,Baborshi,cook,Noun,,
144,Babu,native gentleman; writer; schoolmaster,Noun,Historical usage,
145,Bak,away; sharply,Adverb,,
146,Bak-bak,heedlessly,Adverb,,
147,Bakha,son or daughter of a maternal uncle or paternal aunt,Noun,Kinship term,
148,Bakhor,gunpowder,Noun,,
150,Bakhraw-batri,noble person; person of high family,Noun,,
151,Bak-jingbak,persistently; in spite of opposition,Adverb,,
152,Bakla,to err; to make a mistake,Verb,,
154,Bad,to exclude; to make an exception,Verb,,
155,Baden,irrigated rice field,Noun,Agriculture,
156,Ba-ding,to light with a torch or lamp,Verb,,
157,Badon-ba-em,well-to-do person,Noun,,
158,Bang,tasty; savoury; palatable,Adjective,,
159,Bang,bamboo carrying pole,Noun,Used for carrying loads across the shoulder,
160,Bah,to carry on one's back; to bear,Verb,,
161,Bah,elder brother (vocative); respectful title,Noun,,
162,Bah,great; large,Adjective,Used as a prefix in compounds,
163,Bah-bah,one who compels by force,Noun,,
164,Bah-bang,to carry loads with a shoulder pole,Verb,,
165,Bahkhala,to be answerable for; to be responsible for,Verb,,
166,Bahkyndong,to keep carrying continually,Verb,,
167,Bahryndang,to act on behalf of another; to be vicarious,Verb,,
168,Bahtympha,wall plate,Noun,Building term,
169,'Bai,cowry shell,Noun,Historical currency,
170,'Bai,price; value,Noun,,
171,Ba-iai,always; steadfast,Adjective,,
172,'Baibam,allowance; diet expenses; stipend,Noun,,
173,'Baibat,ready money; cash,Noun,,
174,'Baikhrong,toll; tax,Noun,,
175,'Baikharwait,redemption money; war indemnity,Noun,,
176,'Bailut,expenditure; cost,Noun,,
177,'Baimynraiukhmat,"compensation for breach of contract, especially a marriage contract",Noun,,
178,'Bainong,wages; salary,Noun,,
179,Baiong,to become giddy; to suffer from a headache,Verb,,
180,Ba ioh,lest; for fear,Phrase,,
181,Ba-ioh-ba-kot,well-to-do person,Noun,,
182,'Bai-seng,capital; business capital,Noun,,
183,'Baisngi,daily wages,Noun,,
184,'Baisiew,money for immediate necessary expenses,Noun,,
185,Bait,to sharpen (a stick),Verb,,
186,'Baiwai,rent,Noun,,
187,Bajawalla,military band,Noun,,
188,Bajawalla,bandsman,Noun,Person belonging to a military band,
189,Baje,clock; watch; gong,Noun,,
191,Bajuhon,kind of bracelet,Noun,,
193,Balia,to interfere; to meddle,Verb,,
194,'Ba-lum,highland rice,Noun,,
195,Bam,to eat,Verb,,
196,Bam-bnai,to board; to live at another's table for payment,Verb,,
197,Bambriew,cannibal; man-eating,Adjective,,
198,Bam-khuti,to take bribes,Verb,,
199,Bam-krang,to undermine,Verb,,
200,Bam kwai ha ing U Blei,"literally ""to eat betel nut in the house of God""; expression used when referring respectfully to a deceased person",Phrase,Cultural expression,
201,Ba-met,full (said of tubers and fruits),Adjective,,
202,Bam-ngem,one who secretly commits faults,Adjective,,
203,Bam-hynroh-u-bnai,eclipse of the moon,Noun,,
204,Bam-hynroh-ka-sngi,eclipse of the sun,Noun,,
206,Bam-jajah,to eat cold rice; to take a midday meal,Verb,,
207,Bam-jasngi,to take tiffin; midday meal,Verb,,
208,Bam-niang-iap,disease affecting the toes,Noun,Traditional medical term,
209,Bam-niang-riej,to be worm-eaten (of fruit),Verb,,
210,Bamon,Brahmin,Noun,,
211,Bampong,cancer; scrofula,Noun,,
212,Bamplan,to live from hand to mouth,Verb,,
213,Bamram,to live in debt; to incur debt,Verb,,
214,Bamrwing,to eat fruit or food while travelling for immediate need,Verb,Cultural usage,
215,Bamsap,to take bribes; to commit secret faults,Verb,,
216,Bam-sbiteng-kpoh,to eat only half a meal,Verb,,
217,Bamsih,to eat unclean food (e.g. flesh of dead animals or dogs),Verb,,
218,Bamtyngka,to accept bribes,Verb,Similar to Bam-khuti,
219,Bam-tyllan,to devour completely; eat everything,Verb,,
220,Ban,to oppress; to press upon; to treat cruelly,Verb,,
221,Ban,magical charm; mantra,Noun,,
222,Ban,dam; embankment,Noun,,
224,Ba'n la,rather than,Phrase,,
225,Banat,woollen cloth,Noun,,
226,Ban budkhia,to stitch,Verb,,
227,Bandari,revenue official (Jaintia Hills),Noun,Historical term,
228,Bandobos,to arrange; to settle,Verb,,
229,Bania,goldsmith,Noun,,
230,Banse,to be obliged; to have no alternative,Verb,Usually appears in negative constructions,
231,Ban-snaiap,incubus,Noun,Traditional belief,
232,Baniun,bog; marsh,Noun,,
233,Baphoi,vindictive; easily offended,Adjective,,
234,Bapli,pitiable; poor,Adjective,,
235,'Ba-pynthor,lowland rice,Noun,,
237,Baranda,verandah,Noun,Loanword,
238,Barandi,long cloak; brandy,Noun,Historical entry,
239,Barobakhor,spices,Noun,,
240,Barobor,always; continually,Adverb,,
242,Basa,village deity,Noun,,
243,Basa,market stall; lodging,Noun,Multiple meanings,
244,Basan,state official in the Khasi Hills; petty village official in the Jaintia Hills,Noun,Historical,
245,Bashala,crooked; not straight (of planks),Adjective,,
246,Bashia,fastidious; particular about food,Adjective,,
247,Bashla,to be dazzled,Verb,,
248,Bashi,flute,Noun,,
249,Bat,to hold; to grasp; to catch,Verb,,
250,'Bat,weed; medicinal plant,Noun,,
251,'Bat-iambait,sensitive plant,Noun,Botanical,
252,Batabak,leaf umbrella,Noun,,
253,Batai,to explain; to make clear,Verb,,
254,Bate,to distribute,Verb,,
255,Batip,knowingly,Adverb,Often used ironically,
256,Batip sngi,good; well-behaved,Adjective,,
257,Beng,large frog,Noun,,
258,Beh,to send away; expel; pursue; seek,Verb,,
259,Behbein,to persecute unjustly,Verb,,
260,Behkha-behman,helpful to neighbours in times of need,Adjective,,
261,Behdiengkhlam,annual Synteng festival to drive away pestilence,Noun,Cultural festival,
262,Behmrad,to hunt wild animals,Verb,,
263,Behnongshohnoh,to pursue for ritual murder associated with u Thlen,Verb,Traditional belief,
264,Behshai,to collect debts,Verb,,
265,Behshnong,to excommunicate from a village,Verb,,
266,Behshoh,to threaten to beat,Verb,,
267,Bei,to help with money,Verb,,
268,Bei,mother (Synteng dialect),Noun,Dialect,
269,Be-ijot,to dishonour,Verb,,
270,Bei-man,falsely; untrustworthily,Adverb,,
271,Bein,to scorn; to despise; to challenge,Verb,,
272,Bein,scornfully; contemptuously; cruelly,Adverb,,
273,Bein-shyntur,to make faces; to pout,Verb,"Literally ""to make a mouth""",
274,Beit,straight; right,Adjective,,
275,Beit,uprightly,Adverb,,
276,Beit,to agree; to settle,Verb,,
277,Bela,violin,Noun,,
278,Ben,bench,Noun,English loanword,
279,Ben,a kind of fruit whose kernel is edible,Noun,Botanical,
280,Ber,to sprinkle powder,Verb,,
281,Ber,like a flash,Adverb,,
282,Bet,to sow,Verb,Agriculture,
283,Bet,sedge,Noun,Plant,
284,Bet,"particle meaning ""let me see""",Particle,Used at sentence end,
285,Bet-dier,to sow late in the season,Verb,Agriculture,
286,Bet-lap,to sow early in the season,Verb,Agriculture,
287,Bha,well; good; better,Adverb,,
288,Bhabriew,beautiful; pretty,Adjective,,
289,Bhang,Indian hemp (cannabis),Noun,,
290,Bhang,to become intoxicated or mad from bhang,Verb,,
291,Bhah,share; portion,Noun,,
292,Bhai,friend,Noun,,
293,Bhamet,healthy; of good constitution,Adjective,,
294,Bhar,group of thirty-two (used in counting fruits),Noun,Traditional measure,
295,Bha-sngi,lucky,Adjective,,
296,Bhek,heavily,Adverb,,
297,Bhoh,to desire shamelessly,Verb,,
298,Bhoi,inhabitant of the northern Khasi and Jaintia lowlands,Noun,Ethnographic term,
299,Bhoi,ignorant person,Noun,Secondary meaning,
300,Bhuk-bhak,confusedly,Adverb,,
301,Bhum-bham,confused noise; loud mixed sounds,Adverb,,
302,Bhur,epilepsy,Noun,Medical,
303,Bhur,one of a herd (wild boars),Noun,Zoological,
304,Bhut,ghost; evil spirit,Noun,,
305,Bhut-bhat,instantly; immediately,Adverb,,
306,Bia,to marry,Verb,,
307,Biang,enough; sufficient,Adjective,,
308,Biang,again; a second time,Adverb,,
309,Biang,peacefully; safely,Adverb,Context-dependent,
310,Biangbiang,carefully; properly,Adverb,,
311,Biah,to spit,Verb,,
312,Biah,to exchange,Verb,,
313,Biah,to return excess money after barter,Verb,Commerce,
314,Biah,bundle of sixty betel leaves,Noun,Traditional measure,
315,Biahphongrai,to infect; to taint; to lay eggs on flesh (of flies),Verb,,
316,Biah-tynipew,to apply a small quantity of lime to folded betel leaf,Verb,Cultural usage,
317,Biar,wall,Noun,,
318,Biar,girth,Noun,,
319,Biat,to eat little by little,Verb,Usually small seeds or pulses,
320,Bikrompukhiah,gigantic eagle (legendary),Noun,Mythological bird,
321,Bidesi,to a foreign country,Adverb,,
322,Bidong,to be strict,Verb,,
323,Bidong,strictly; without indulgence,Adverb,,
324,Bieit,foolish,Adjective,,
325,Bieit,disabled,Adjective,,
326,Bieit,dumb; unable to speak,Adjective,,
327,Bih,poison,Noun,,
328,Bijai,to become worthless,Verb,,
329,Bijai,uselessly; in vain,Adverb,,
330,Bijar,sorrowful,Adjective,,
331,Bijar,grievous,Adjective,,
332,Bilat,England,Noun,Historical usage,
333,Bilat,Europe,Noun,Historical usage,
334,Bill,iron lifting hook for cooking pots,Noun,Household tool,
335,Bill,iron leg-chain used to restrain criminals,Noun,Historical,
336,Bim,beam,Noun,Building term,
337,Bim,heavily (of large timbers or stones falling),Adverb,,
338,Bin,carefully,Adverb,,
339,Bin-bin,atom,Noun,,
340,Bin-bin,extremely small,Adjective,,
341,Binong-bishon,good; noble,Adjective,,
342,Bir,marsh,Noun,,
343,Bir,lake,Noun,,
344,Bira-biri,confusion; disorder,Noun,,
345,Biria,jokingly,Adverb,,
346,Biskit,biscuit,Noun,English loanword,
347,Biskurom,god of arts; Khasi Vulcan,Noun,Mythological,
348,Bishar,to judge,Verb,,
349,Bishar,legal proceedings; judgment,Noun,,
350,Bishni,to envy,Verb,,
351,Bisti,water-carrying servant; bhisti,Noun,Historical occupation,
352,Bit,fit; proper,Adjective,,
353,Bit,to stick,Verb,,
354,Bit,to resemble,Verb,,
355,Bitar,angry,Adjective,,
357,Blad,tasteless; insipid,Adjective,,
358,Blait,through; across,Adverb,,
359,Blait-blait,bloodless; pale white,Adjective,,
360,Blang,goat,Noun,Animal,
361,Blang-u-bhed,collective sacrificial offerings brought by villagers,Noun,Cultural / Religious,
362,Blar-blar,pale; colourless,Adjective,,
363,Blaw,to feel lonely,Verb,Usually used as sngew-blaw,
364,Blei,God; deity,Noun,Religion,
365,Blei-thaw,idol; image,Noun,Religion,
366,Bliat-bliat,completely; altogether,Adverb,,
367,Blir-blir,pale,Adjective,,
368,Bloit,to fall off,Verb,,
369,Bloit,suddenly; unexpectedly,Adverb,,
370,Blom-blom,muttering; murmuring,Adverb,,
371,Bluit,suddenly,Adverb,,
372,Blur,through; from side to side,Adverb,,
373,Bna,to hear,Verb,,
374,Bnai,moon,Noun,Astronomy,
375,Bnai,month,Noun,Time,
376,Bneng,sky; heaven,Noun,,
377,Bniah,careful; exact; detailed,Adjective,,
378,Bniap,to kill,Verb,,
379,Bniat,tooth,Noun,Body,
380,Bniej,tiny; small,Adjective,,
381,Bnoh,purlin; stick with a crooked head,Noun,Building,
382,Bok,luck; fortune,Noun,,
383,Bok-bok,to bother; annoy,Verb,,
384,Bong-ang,to stand or sit astride,Verb,,
385,Bong-knang,very thin; lean,Adjective,,
386,Boh,to tie behind,Verb,,
387,Bohkhaila,loincloth; dhoti,Noun,Traditional clothing,
388,Boi,to swarm; to be plentiful,Verb,,
389,Boi-boi,soft; easily detached,Adjective,,
390,Boina,earnest money; pledge money,Noun,Commerce,
391,Boiñ-boiñ,soft; yielding,Adjective,,
392,Bok paidbah,public welfare,Noun,Compound expression,
393,Bol,strength; force,Noun,Loanword,
394,Bom,to strike violently,Verb,,
395,Bom,explosion; blast,Noun,,
396,Bor,power; authority; strength,Noun,,
397,Bor,to be able; to have the power,Verb,,
398,Bor shnong,village authority,Noun,Administrative term,
399,Bot,completely; entirely,Adverb,,
400,Bot,to become full,Verb,,
401,Bri,earth; soil,Noun,,
402,Bri jylla,country; state,Noun,Geographic term,
403,Briew,person; human being,Noun,,
404,Briew paidbah,ordinary people; the public,Noun,,
405,Briew shnong,villager,Noun,,
406,Briewrangbah,elder; respected person,Noun,Social title,
407,Broh,to break apart,Verb,,
408,Broi,to become rotten,Verb,,
409,Brong,brown,Adjective,Colour,
410,Bteng,to continue,Verb,,
411,Bthah,to order; to command,Verb,,
412,Bthuh,to understand; to know,Verb,,
413,Boit,fabulous fairy of only a cubit in stature; Lilliputian; small boy in the War districts,Noun,Folklore,
414,Boitha,rudder,Noun,,
415,Bol,ball; bowl,Noun,English loanword,
416,Bor,power; influence; authority,Noun,,
417,Borkapor,coarse cotton cloth,Noun,Assamese loanword,
418,Borkyndat,guard for prisoners,Noun,Historical,
419,Borma,auger; native of Burma,Noun,Two meanings,
420,Borti,bucket,Noun,,
421,Borti,to enlist,Verb,,
422,Brah,upas tree,Noun,Botanical,
423,Brai,to like; to be fond of,Verb,,
424,Brai,white mongoose,Noun,Animal,
425,Brai,snapped apart (of a string),Adverb,,
426,Bram,poisonous (of fungi or fruits),Adjective,,
427,Bran,quickly; briskly; in haste,Adverb,,
428,Bred,to throw away,Verb,,
429,Bred-ei,to throw away as worthless,Verb,,
430,Breiñ-breiñ,falling softly like a drizzle,Adverb,,
431,Bri,grove; estate; farm,Noun,,
432,Bria,slightly; indistinctly,Adverb,,
433,Bri-kwai,betel-nut grove,Noun,,
434,Brin,in a row,Adverb,,
435,Brisoh,orange grove; fruit grove,Noun,,
436,Briw / Briew,man; woman; person,Noun,Plural: ki briew,
437,Briew,apple of the eye,Noun,Figurative meaning,
438,Broh,pitted (usually describing fruit),Adjective,,
439,Broi,kind of sour fruit,Noun,Usually appears as soh broi,
440,Buiñ,to suck,Verb,,
441,Buiñ-bañn,with grimaces; contortively,Adverb,Used of facial expressions,
442,Buit,cleverness; cunning; skill; scheme,Noun,,
443,Buit-ti,inclined to stealing,Adjective,,
444,Bujai,to explain,Verb,,
445,Bula,mask,Noun,,
446,Bula,masquerader,Noun,,
447,Bulor (Bilor),bottle,Noun,Variant spelling given,
448,Bun,many; much,Adjective,,
449,Bun,burnt turf used as manure,Noun,Agriculture,
450,Bun-ktien,talkative; loquacious,Adjective,,
451,Bunshah,many times as much,Adverb,,
452,Bunsien,often; many times,Adverb,,
453,Bur,to creep or spread (as fire),Verb,,
454,Bur,raft,Noun,,
455,Buria,to give compensation for,Verb,,
456,Burom,honour; glory,Noun,,
457,Burom,to honour,Verb,,
458,Buskit,gift; present,Noun,,
459,Bydi,"twenty (used in counting firewood, etc.)",Numeral,Traditional counting term,
460,Bylla,to work as a day labourer,Verb,,
461,Bylla,pierced right through,Adverb,,
462,Byllai,in great numbers,Adverb,,
463,Bylliang,marked with stripes,Adjective,,
464,Bylliat,kind of hardwood,Noun,Tree/wood,
465,Byllien,very numerously,Adverb,,
466,Byllud,to graze; to rub gently; to pass just touching,Verb,,
467,Byllun,bulgingly; swollen like a cramp,Adverb,,
468,B'ym,that...not; because...not,Phrase,Contraction of ba + ym,
469,B'ymdei,improper; not right,Adjective,,
470,B'ymjukut,eternal,Adjective,,
471,B'ymler,good for nothing,Adjective,,
473,Ka,she; it,Pronoun,Feminine/Neuter,
474,Ka,sentence-final particle for euphony,Particle,,
475,K'a,Simul tree,Noun,,
476,Kaba,who; which; what,Pronoun,Relative pronoun,
478,Kabab,roasted flesh,Noun,,
479,Kaba-kai,plaything; sport; sham; not real,Noun,,
480,Kaba-khluid,warmth; heat,Noun,,
481,Kaba-kyrhai,abundance; plenty,Noun,,
482,Kaba-long,condition; state,Noun,,
483,Kaba-mut,meaning; intention,Noun,,
484,Kaba-sawa,sound; noise,Noun,,
485,Kaba-saw,greenness,Noun,,
486,Kaba-shai,brightness; light,Noun,,
487,Kaba-sniew,evil; wickedness,Noun,,
488,Kaba-suk,comfort; peace,Noun,,
489,Kaba-thiang,sweetness,Noun,,
490,Kaba-um,moisture; wetness,Noun,,
491,Kabo,to refuse,Verb,,
492,Kabu,opportunity; advantage,Noun,,
493,Kabu,to take advantage of,Verb,,
494,Kad,to flee suddenly,Verb,,
495,Kada,banana,Noun,,
496,Kadai,shop,Noun,,
497,Kadit,to diminish; decrease,Verb,,
498,Kadit,little; small,Adjective,,
499,Kad jingïakren,conversation,Noun,,
500,Kad jingïaleh,struggle; contest,Noun,,
501,Kabo,to request; to solicit importunately,Verb,Synteng origin,
502,Kabu,good luck; opportunity,Noun,,
503,Kak,cork,Noun,,
504,Kad,to tear; to rend,Verb,,
505,Kad,place of meeting; harbour,Noun,,
506,Kada,ass (donkey),Noun,,
507,Kadiang,left hand; left-hand side,Noun,,
508,Kadjatdoh,cracks on the underside of the toes,Noun,,
509,Kadlongbneng,to shoot upward (as with an arrow),Verb,,
510,Kad-shyntur,hare-lip,Noun,,
511,Kaei?,who?; what?,Pronoun,,
512,Kaei-kaei,a thing; anything,Noun,,
513,Kaei-kaei-ruh-em,nothing at all,Phrase,,
514,Kaei-re-kaei,something or other,Phrase,,
515,Kang,to jut out; to project,Verb,,
516,K'ang,to cry; to scream,Verb,Another form of kyang,
517,Kangar,gluttonous,Adjective,,
518,Kah,to shade; to darken; to screen,Verb,,
519,Kahait,to attempt to bite; to snap at,Verb,,
520,Kahiap,to attempt to bite; to snap at,Verb,Variant form,
521,Kai,for pleasure; for fun,Adverb,,
522,Kaia,Marwari,Noun,,
523,Kaibri,motions; stools; evacuations,Noun,,
524,Kai-khlaw,to conduct guerrilla warfare,Verb,,
525,Kai-kynthei,licentious,Adjective,,
526,Kain,tree whose bark causes skin eruptions,Noun,,
527,'Kain,fly,Noun,Abbrev. of skain,
528,'Kain-dait,mosquito,Noun,,
529,'Kain-iong,meat-fly,Noun,,
530,Kait,plantain; banana,Noun,,
531,Kait,scissors,Noun,Synteng usage,
532,Kalai,matikalai,Noun,,
533,Kalai,to tin,Verb,,
534,Kalaiñ,to whirl round (as with a torch); to wield; to wag,Verb,,
535,Kaw,to work in vain; without success,Verb,,
536,Kara,to earth up,Verb,,
537,Karai,iron cooking vessel (for curry),Noun,,
538,Karo,Garo,Noun,,
539,Karod,garrison; guard; guard-house,Noun,,
540,Karta,age,Noun,More correctly ka rta,
541,Kartus,cartridge,Noun,,
542,Kashari,court-house; kutcherry,Noun,,
544,Katba,while; as much as,Adverb,,
545,Katba long,be as it may; come what may,Phrase,,
548,Katne,this much,Adverb,,
549,Katne-katne,as much as this; so much,Adverb,,
551,Katno-katno,however much,Adverb,,
552,Katta,so much,Adverb,,
553,Katta-katta,to such an extent,Adverb,,
554,Kattei,so much (up there),Adverb,,
555,Kattai,that much (at some distance),Adverb,,
556,Katthie,so much (down there),Adverb,,
557,Katto,that much (near you),Adverb,,
558,Katto-katne,some; more or less; a certain amount,Phrase,,
559,Kaw,"number = 1,280",Noun,Traditional counting unit,
560,Kaw,I say!; Ho!; hear me!,Interjection,Form of address,
561,Kawang,to throw,Verb,,
562,Kaw-kaw,to make a noise; to clamour,Verb,,
564,Kaweh,to fan; to wave,Verb,,
566,Kawei ka-ar,some other,Phrase,,
567,Kawei-pat,another; other,Pronoun,,
568,Kawiat,to beat with something small; to lash,Verb,,
569,Kaw-shiliang-kaw-arliang,fine; penalty,Noun,,
570,Kawut,same as kawiat,Verb,Onomatopoetic form,
571,Kba,paddy; unhusked rice,Noun,,
572,Kbain,to scatter; to besmear,Verb,,
573,Kbeit,a kind of hawk,Noun,Bird,
574,Kber,winged white ant,Noun,Insect,
575,Kbon,to clutch; to claw,Verb,,
576,Kbin-kbin,small and well-cut,Adjective,,
577,Kboh,to scratch,Verb,,
578,Kbum,to close up the lips; to shut up; to keep something in the mouth,Verb,,
579,Kdang,to have enough (of food); to feel satisfied; to be replete,Verb,,
580,Kdait,reed; ekra,Noun,,
581,Kdam,violently; with a slam,Adverb,,
582,Kdar,brightly; brilliantly,Adverb,,
583,Kdat,to turn sharply in another direction,Verb,,
584,Kdew,to point out; to direct with the hand,Verb,,
585,Kdiah,to break; to snap (with the hand),Verb,,
586,Kdiap,to walk cautiously; to stalk game,Verb,,
587,Kdier,to straddle (in a bad sense),Verb,,
588,Kdiar,transparently; uncloudedly,Adverb,Used of water or weather,
589,Kdik-kdik,throbbingly; longingly,Adverb,,
590,Kding-kdang,at all; sincerely (used negatively),Adverb,,
591,Kdong,corner; opportunity,Noun,,
592,Kdor,to bend; to curl,Verb,,
593,Kdup,to embrace; to defend,Verb,,
594,Keh-keh,stammeringly,Adverb,,
595,'Kei,barking deer,Noun,Abbrev. of skei,
596,'Kei-sop,roe-buck,Noun,,
597,Kein,"intensifying particle (""that's it"")",Particle,,
600,Kem,to arrest; to seize,Verb,,
601,Kem,to wrestle,Verb,,
602,Kem,to resemble (when preceded by ia),Verb,,
