english,khasi
"tiili, V. to waylay.", Ap
aptliiem.,Imit aptiih
"fold, double.",Arban a two
thread.,a two folds of twisted
rising,up
aranna.,also arduna
"nm, ha, n. the junction of two rivers.",Arldd
"fold, hypocritical.",Arsap a two
arshing  Sa. p.,with annas as liii
"bylleu, v. to swell as if affected with nettlerash.",At
"khu,",At
atsnier.,Imit atkpoh
"kuda,",At
"mytung, v. to swell prominently, same aa Atmttmg.",At
"patengpateng,",At
"phyllung, v. to roll in waves.",At
TOP,AT
"top, V. to be dropsical.",At
"aw,",Aw
aw, u ud aw
lum highland rice.,ba abbrev of kba n n paddy as u a
bamiat.,Imt babha
phubu.,lmit u Babu
"bak,",Bak
bak,laid baJc
"batri, u, n. a noble, a person of high family.",sBakhraw
"jingbak,",Bak
jingbah khlem kren ia nga.,phet lyndet bah
bakli.,lmit bakla
"ding, t to light with a torch or lamp.",Ba
"baem, n. a welltodo person.",Badon
"hab, w, n. same as bapyntbor.",ba
"bang, v. to carry loads witli a stick across the",Bah
plate.,z n wall
"shells,",cowrie
"kmii,",bai
"iai, a. always, steadfast as,  ko Pa ba lah baz.",Ba
dili , bai
"money,",baibat ka n cash ready
bai musur.,Imit baikhrong
", ad. peevishly cry.",Baid iam
baisep.,Imit bailut
"bain, ad. very soft, as, jem baifibain.",Baiii
baini.,Iuit bainong
bangit.,baioDg
"seng, ka, n. capital, money for carrying on any business.",bai
day.,penses as on a m
baitda.,Imit baisiew
"liim,",bd
dih.,Imit bam
"bnai, v. to board",Bam
eating.,Bambriew adj cannibal man
"khuti,",Bam
"krang, v. to undermine.",Bam
"met, a. full said of tubers and fruits.",Ba
"ngem, adj. one who commits secret faults.",Bam
"hynrohnbnai, kala, n. eclipse of the moon.",Bam
"hynrohkasngi, haha n. eclipse of the sun.",Bam
"jakhluit, v.",Bam
"jajah, v. to take cold rico, to have a midday meal.",Bam
"jasngi,",Bam
day nieal.,v to take tiffin or mid
"niangiap, kaha, n. a disease which attacks the under part of",Bam
"fiiangriej, v. to be wormeaten said of fruits.",Bam
bam,Imit bamram
wwg.,and not for taking them home or for selling is said to ham
"sbitengkpoh, v. to take half a meal.",Bam
"tyllan, v. to devour  to eat without throwing away anything",Bam
i n. a dam,ka
ka patu.,Imit ka banat
hQ is obliged.,tive as um banse
"snaiap, kaba, n. incubus.",Ban
"pynthor, m, n. lowland rice.",ba
irto answer the call,phr leit
deity,Basa u n a village
"ubasa, a village deity.",u Bynkew
SHYNTUR,BElf
iambait,bat
umbrella.,shata ka n a leaf
satai.,SJmit batai
banang.,batip
behaved.,a good well
tipnong.,Imii batipsngi
behkhoh.,Behbeiii v to drive or persecute wrongly Jmit behbein
"behman, a. helpful to neighbours in time of need.",Behkha
"skei, beh",beh
"dngiem, etc..",khiat beh
behmreng.,Imit behmrad
behnongshohtuh.,ImiL behnongshohnoh
behthaw.,shnong
behdat.,Imit behshoh
"ijot leh, v. to dishonour.",Be
"man same as bymman,",Bei
"shyntur, v. to make a mouth.",Beiii
lieh .,lei
ia ftei.,as  un leh a
"dier,",Bet
"lap,",Bet
two in counting,a number containing thirty
"sngi, a. lucky.",Bha
"bhak, ad. confusedly",Bhuk
hhak,as ki la bred hhuk
"bham,",Bhum
u soitdn.,Imit u bhut
"bhat, ad. instantly",Bhut
leaves.,n ka a bundle of  pan or betel
"tynipew, v. to apjly a",Biah
"lGa,i",pan
ba anna.,Imit babieit
chaiu.,fire an instrument for punishing criminals leg
u kynda.,bili
"bin,",Bin
bm.,bin
"bishon khun, a. good, noble.",Binong
"biri, a. to be in confusion.",Tira
birai.,biria
khadar.,iLnit bishar
"carrier, a hhisti.",n a water
blab kren ad. to jabber.,Blab
"blait,", Blait
", ad. bloodlessly white.",lieh
"bbei, u,",Blang
"blar,",Blar
hlar ia,as u shet hlar
", v. feel lonely.",Blaw sngew
kidken.,Imit ki blei
"thaw, w, n. an idol, an image.",Blei
"bliat, ad. altogether, completely",Bliat
hliat.,as khoh hliat
"blir ad. pale as, stem blirblir.",Blir
"blom, ad. mutteringly",Blom
ka rwiang.,Imit ka bok
"bok, V. to bother.", Bok
"ang,",Bong
knang,Bong
"boi, ad. soft and coming off easily",Boi
hoi.,as lah hoi
"boin, ad. very soft,",Boifi
hoin.,as jem boin
ksu,Jeig hovo
"ei, v. to throw away as worthless.",Bred
"brein, ad. falling softly like a drizzle.",Breifi
ka kliyndew.,Imit ka bri
"kwai, ka n. a betelnut grove.",Bri
"brop, ad. in drops.",Brop
"brum, ad. with heavy steps of a number",Brum
brum.,iaid brum
btiah.,Iriiit bsa
ka mait.,Imit ka bseiii
"ksai,",Bsiat
"btaj,",Btaj
"btej,",Btej
btaj. ,em btaj
deer.,Bthong n a hog
"aid,",Bu
aidtang,mzV bu
"bak, ad. as quick as possible as, trei huJchak.",Biik
"fold, etc.",budQjxQ fold arMi two
"da, M, n. a carpenters brace.",Bud
"dien, v. to track,",Bud
"markjat,",Biid
"shnong, v. to colonise.",Buhai
buhbyndop. ,Iinit buhbynda
buh,ImU buhkam
"ktien,",Buh
", v. to betroth.",ia
buhthylliej.,Imit buh ktien
"ia, V. to appoint a time.",Buh
buhkai.,Imit buhrih
"sngi,",Buh
buh,buhsngi
"iam, u, n. a jar esp. one m.ade of porcelain.",Bu
"bin, ad. with grimaces, contortively,",Buin
buitka,ka
tibuitjat.,limit buit
"ktien, a. talkative, loquacious.",BAn
ka,Imit ka burom
"wood, etc. same as bdi.",Bydi ka n twenty used in counting fire
labourer,day
", ad. having the marks of stripes.",at
f ymdei.,Ba
byndop.,Imit bynda
byndop,mzibyndi
"hati, ka, n. the tusk of an elephant, ivory.",Byniat
net drawn by one person and tied from,n a square fish
"byfiiup, . drizzling used with Zip.",Byniup
"demon,",she
"byrnget,",Byrngut
KAI,KABA
"ie,",Byr
khmat,with
"iong, a. blackish.",Byr
byrkhew.,Imit byrni
"dong, ka, n. a small sack",Byrni
kneed.,Byrship a knock
i  eruptions.,Byrthiew or pyrthiew u n parched pulses kaba
"byrten, ad. long and entwining, as,  balei",Byrtun
byrten.,byrtmi
"kdi, n. plaything, sport, sham, not rea..",Kaba
"shyntur, kaba, n. harelip.",Ead
"kaei, n. a thing, anything,",Kaei
"kaeiruhem, pJir. nothing at",Kaei
"rekaei, phr. something or",Kaei
"khlaw,",Kai
"kynthei, a. licentious.",Kai
"dait, w, n. a mosquito,",kain
"iong, u,",kain
fly.,n a meat
"bordi, ka, n. a bullockcart.",Kali
ka jam  z.,necessity need mzt ka kam
im.,not contraction of ka
kajih,Tmit kamai
"khynraw, ka, n. what one earns while unmarried.",Kamai
"bah,",Kam
kam,lmit kambnh
"karikor, ha,n. mechanical works.",Kam
"u kadiang, u,",Kamon
"ram, ha, n. duty.",Kam
"shongkdi, ka, n. a drawingroom.",Kamra
"shnongkamthaw, ka, n. politics.",Kam
"kano, p. any one, any.",Kano
kap.,as ia
SHILIANGKAWARLIANQ,KAW
"house,",n court
"katno, ad. however much.",Katno
"katne, jr. some, more or less, a certain amount.",Katto
"kaw,",Kaw
", v. to make a noise or clamour.",ia
"kawdawdaw, ad. clamorously ",Kdw
"ar, j. some other.",Kawei ka
"pat, p. another, other.",Kawei
"shiliaDgkwarliang, ka, n. a fine.",Kdw
NOH,KEIN
"kbin, a. small and well cut.",Kbin
"kdik, wchrobbingly,",Kdik
Mik,as ka mynsiem ka khih kdik
i ia phi.,longingly as  u kwah kdik kdik ban ioh
"kdang, ad, at all, sincerely used negatively",Kding
kdang ia u.,tip kding
"keh, ad. stammeringly.",Keh
"sop, w,",kei
buck., a roe
"noh, v. enough . vpry",JSlein
ARBONGTHAI,KHAD
"synrai,",as m
lyiuY.,kem
"bikar,",Kem
"kalar,",Kem
shell,egg
shell called ka lieng.,broken egg
"khap, ka, n. a kimkhap cloth.",Kem
"ktien, v. to interrupt, to rejoin.",Kem
"iongrein, kaha n, dusk.",Kem
"pang,",Kem
"puri, v. to become ill by the influence",Kem
"kut,",Ker
"dam, v. to hedge round leaving no opening.",Ker
"fish,",khabniang u n a pipe
"kiman,",Kha
sprit.,of an evil
"ar, a. twelve.",Khad
"arblang, ka, n. the name of a part of the Khyrim",Khad
"arbongthai,",Elhad
ARKUR,KHAD
KHAIT,KHAIT
"arkur, hi, n. the twelve electoral clans of tlie Clierra State.",Khad
"dki, ka, n. one of the pieces of",kha
khadwai,Imii khadduh
"ei, ",Khad
"ei, udon du.",as  Phi ong um don khad
"ja, v. to serve out boiled rice. Imit. khadjakhadjhur.",Khad
"tyrut, v. to drive away an evilspirit called ka  Tyrut by",Khad
dakatyr,khad
dakasmer.,ut
khang,to corner to surround Imit khangdong
fern., a kind of fern a tree
"ii, v. to trade, to buy and",Kha
iipateng.,Imit kha
worm,w n ring
", equal match, ending in a draw.",ia
khiej.,khait
"khait, a very poor",Khait
khait,long ubaduk khait
SHANAM,KHAN
"khala, ad. immediately, at once,",fKbala
"wait, v. to display ones skill in the wielding of a sword.",Khalai
"kynrei, a. more abundant.",Kham
"mukur, u, n. small fish.",fKha
mash.,Beng magul
"tax list, census.",n house
"ktem, v. to divine as to the track of hunted game.",Khan
"shanam, v. to divine by the swing of the limecase.",Khan
holders for witnessing the sale of land.,land
khum.,bam
"bria, a. having partially closed eyes.",Khap
khapuin.,Imit khapnglah
khadain.,Tnnt khapiah
"fisted,",close
khapbit.,khapnap
"ngapkynta, Kharsawian, Kharshiiing, etc.",kongor Khar
demon.,Kharabak u n the fever
"alot, u, n. merchant",khar
"men, especially potatoes.",who buys wholesale goods from the hill
kharkor.,Imit kharkaw
"kpoh, kaha, n. diarrhoea or looseness of the bowels.",Khar
vi, Beng Bislot Bot Milletia Pacchycarpa Bth
SW,KHA
OT,KHAW
"saw, ka n. a very common fish in the streams",kha
born., to be twin
ei,see khad
tyrut.,tion as khat
"ei, conj. see khadei.",Khat
"um,",Khat
"uman, v, n. one related by marriage.",Kha
dawai.,Imif khawai
"khawdawdaw, a. penniless, very poor.",Khaw
khawtan .,khawduh
"eit, v. to be afraid of.",Khdw
"iang, w, n. a certain plant used in fermentation, fermented",Khaw
" dei, phr. affected with wine.",liquov
hand.,cannot be reached with the
"ot, kahaf n. rice not properly boiled.",Khaw
PET,KHAW
"pet, u, n. rice purchased with money as distinguished from",Khdw
"rneng,",Khaw
keepers.,or Thlen
"eh khengkheng,",as  upyn
"ban khai, v. to proiitiate the evilspirits",Khein
"briew, v. to have some regard for.",Khein
"burom,",Khein
kh einsurom.,kheinburom
kheinkhrei.,misfortune by propitiating him ImzL kheinksjuid
"kupar, v. to be dishonoured.",Kheiu
"kylliiid,",Khein
khein kyrwa.,kylluid
"dewthala, v. to reckon as worthless.",Khein
"dohksew, v. to become obstinate or desperate.",Kheiii
"dohiap, v. to become desperate.",Khein
"duh, v. to become reckless, to give oneself up as lost.",Khein
"poh, v. to under value, to underrate",Kheiii
"sbai, v. to give an",Khein
"snep, v. to care for used with ym.",Khein
LAPEti,KHIE
khem phad.,Imif khem met
ka,khet
"tiah, v. to cut the trees or bamboos and leave",iKhet
nang.,Tmit khiah
"krac, khiahksuid, v. to be in a very sound health.",Khiah
deer.,Khiat ka n a moss
"thew, a. graceful, elegant, dignified.",Khia
"bhang, v. to become mad as if from the effect of hJiang.",Khie
"bhur, v. to have epileptic",Khie
"ka rasong,",Khie
"khlam,",Khie
"khlieh, v. to keep",Khie
kJiUeh shuh .,ram eh um lah khie
"khynraw, v. to reach the age of maturity.",Xhie
"kieh, v. to stir up suddenly as if for action or on account",Khie
"kyllang, v. to be cyclonic.",Ehie
"iaiong,",Khie
"im, v. to revive",Ehie
"lapeh, v. to have abundant leaves",Khie
luxg,kiiip
"lung,",Kliie
"rih,",Khie
"sarumut, v, to have a fancy for",Khie
"sboh, v. to have fever.",Khie
"shylluit,",Khie
"step, v. to rise early.",Khie
khie phyrngap.,IndL khie step
u siang.,Imit u khiew
"dieugbai, u, n, a big red ant",khiew
khiew,Imit khiewja
"kiii,",Khiewja
"saw, m, n. red ant.",khiew
", v. to resist.",ia
ksar.,SImit khih
"lyngkhum,",Khih
"map, v. to quiver.",Khih map
"Minuid,",Khi
doer before,to a Khasi custom of punishing an evil
KHIR,KHIR
"khir kharkliar, ad. studiously, as,  u wad",Khir
khar ia nga.,khir khar
"shikhir, ad. constantly seek a cause far quarrel",Khir
khir ia nga.,phi shu wad dong kfdrShi
u tblen.,nnt u khla
"khlak, khxiiot, ad. gaggingly,",Kblak
khlak ia nga na ka ryndang.,ban kshot khlak
"khlait, ad.",Khlait
khlaitkhlait kumne.,iayn
devil,she
kangoh.,Ji ka khlam
"suidiap, a. having the appearance of one who",Khlam
ka btap,Imit khlaw
"khleb,",Khleb
a.,Khleh V to mix to pound 
"lamwir, mo.",yZei
ka.,Imit ka khlein
"khlej, ad. tearfully, as,  u iam khlej kJdef.",Khlej
"akor, a. careless, reckless, unmannerly, rude.",Khlem
"dapud, adv. unceasingly, always,",Khlem
ptid.,khlerrida
khlemsuin.,Imit khlcmraiii
KHLEN,KHLEN
"khlen, a. muscular, strong.",Khlen
hUen,As u briew uba hhUn
"khlew, ad. staringly,",Khlew
"khlib, ad. looking fixedly,",Khlib
"khlik,",Khlik
", ad. cleanly white",lieh
khlik.,da ki jain kiba lieh khlik
ka reng.,lmit ka khlieh
"katyngab, ka, jihr. hearsay, rumour.",Khlieng
"khlingkhlangkhlang, ad. look round about.",Khling
khlir,khltr
"khmia,",Khmia
khmia.,sngaid khmia
MATDONG,KHMIH
"matdong,",Klimili
"shain, v. to gaze.",Khmih
"sian, v. to watch.",Khmih
"syntiat,",Khmih
"khmot, ad. angrily,",Khmot
"khning, ho.",khnang
"dpei, ka, n. the wooden frame of a hearth",Khnap
"khnek, ad. with a hop, lamely,",Khnek
khnek,as  u iaid khnek
"khnok, ad.",Khnok
khnok ba,limpingly as u iaid khnok
u rijied.,khnong
"khSoit,",Khiioit
khnoit,khnoit
tempered.,Khongkhong a irritable hot
mongdong. ,dong
"jat, ka, n. the heel.",Khongdong
"ieng, v. to open by means of a lever, etc..",Khong
turvy.,topsy
SHI,KHONG
"shi, w.  pan leaves.",Kliong
khiaj,k hoit
ka borsha.,khorsha
"batri, kiha, n. the great, nobles.",Khraw
khrum.,ImiL khreh
ii khreisin,Khrei u n used with kmid in u ksuid
khriap.,khrew
"khria,",Khria
kJiria.,kseh ki long kiba rit khria
"khrik, ad. twinkling,",Khrik
khrik.l,khrik
ka tlieng.,Imit ka khrong
"khrum, ad. in a business",Khrum
"khrun, a. of good size said of fruits and tubers.",Khrun
"shikhru, ad. repeatedly",Khru
shikhru.,as  ki iakhih khrii
ka antor.,Imit ka khubor
beam in a house, a cross
"ksdid, v. to be entirely free from blame.",Khuid
"khuit, a.",Khiiit
holder,Kliulom u n a pen a pen
"sner, u, n. a quill pen.",Khulom
"ka jingit, ph to be stunted.",KhCim
khum ban, ki shu wan khum
kham kham,khum khum
"kpoh, v. incapable of deling active work owing to pregnancy.",Khiim
"pyrdet, v.",Khum
khum pyrdang.,khumpyrdet
"sknm,",Khum
uksiew child,khun
uhaj ar subject .,khim
"ki raiot, H, n. subjects.",Khim
"binong bishon, n. respectable or honourable persons.",Khiln
"khliengkpoh, n. a pet child.",Khun
child.,Khunksiew n a grand
khun kmie.,kur
"khunti, n. in",Khundir
khunjiap.,Imit khunlung
"ruid, n, a",Khim
cliikl,step
"soh syiem,",Khun
soh syiem.,long ki khnn khiin
khunmyllung.,khnnswet
"tamsneng, n. a disobedient child.",Khun
"thepmynsiem, n. a pet child.",Khun
"khur, u, n. the",Khur
Dkhar of these Hills.,of a certain clan jaid
"met u, n. the outer part of a bamboo or a cane.",Khur
khulain.,Imit khutia
khylliang.,khyllah
", to dislocate.", kliem
"patengfiiamra, ka, n. an infernal abyss, hell.",Khyndai
ka shyiap.,mit ka khyndew
khynsoit.,ImiL khyndiat
khynluug.,Imit khynnah
"rih,",Khynniuh
"ujumai, kaha,",Khynniuh
"piece, the cornice.",JKhyrnit ka n the mantel
KINO,KINO
khyrweh.,mit khynvaiii
"kiak, ad. titteriugly.",Kiak
ka um.,Imit ka kiad
"kurim, ka n. motherinlaw.",Kiaw
"ngap, ka, n. queenbee.",Kiaw
"berong,",Kie
"kiei, n. things, articles.",Kiei
"langtylli, plir. to be so much carried away by flattery as",Kiew
"kino, p. any.",Kino
KA STAr.,KJAP
"kir, ad. very tender.",Kir
hah., mit kit
"bru, ka,",Kit
"iapar, kaha, n. a very heavy load",Kit
bahjingbah.,mif kitjingkit
kitni., kitnong
"kitam, n. pi. things, furniture.",Ki tum
"ka star, ka, n.",iKjap
"sugi, ha n. suns ray.",Kjat
"sim, Taba, n. a disease of an arecanut which appears as small",Kjit
"kjong, ad. lightly as the frisking of a deer.",Kjng
"kjoin,  ad. aloft, high up.",Kjoin
"kJLiin, J",KjCiin
"klak, ad. chatteringly.",Klak
klak.,As ka briew kaba kren klak
KLEW,KLEW
SAN,KMIE
"klew,",Klew
itaiig,ioh
"lingling,",Kling
lingling .,um kling
"kliw,",Kliw
synfiia kliw kliw.,ki briew kiba iong
gourd.,Klong w w the heart a bottle
u skaw.,klong
"kli, ad. quickly, sharp.",Ki
"lan, ad. very quickly",Kloi
i ia,as  Nga tang shu ioh
lan.,buhrih ia ka wait kloi
n. joy.,a joyful rejoicing 
mother,Kmiekha kat n grand
"kikpa, ki n. parents.",Kmie
raT    gdmother mothers side.,Kmie
"nah, ka n. aunt mothers younger sister.",Kmie
"san, ka, n. aunt mothers elder sister.",Kmie
KMIR,KMIR
"kmir, ad. very",Kmir
trap,Knah ka n the cross stick in a bird
iia u briew,As ngaioh
"knep,",Knep
", ad. very wet clothes.",jhieh
"kniah, iaid, ad. like the gait of a welldressed damsel.",Kniah
ukpa.,Imit kfii
kndn.,Imit knieh
"u n. an old man fern,",a child 
"samthiah, v. to be drowsy sleepy to nod in sleep.",Kohnguh
bill.,Kohlyngkai w n the rhinoceros horn
kit,kit
san,kpa
"koit,",Koit
", ad. easily bent.",jem
"kuit, j",Kiiit
sop.,Imit kop
kr.,Kr
sla.,ka
"kot,",Kot
"sada, ka n. a blank paper.",Kot
"shini, ka,",Kot
"shonsia, ka n. blotting paper.",Kot
"thalyngka, ka, n. a squarekite.",Kot
"kha,",Kpa
"hep, w, n. grandfather mothers side.",Kpa
"nah, w, n, stepfather, uncle fathers younger brother.",Kpa
"san, w, n. uncle fathers",Kpa
BYTHER,KREN
ka phrah.,Imit ka kper
uksab.,mii u kpieng
"im, Ut n. dough.",Kpu
"rew, w, n. flour.",Kpu
", ad. down slip into a",Krak Hat
"kram, ",Kram
"krum, ",Krum
kram., hapoh pubon ki ong ka kylluid kram
"kreng,",Kreng
", ad. having big holes in a net work.",fiiar
kreng.,kane ka jaifi kaba fiiar kreng
kakroh.,ImU ka krem
khana.,Imit kren
"bein, v. to revile,",Kren
"krenkhoh.,",Imit krenbein
"beinblei,",Kren
"blei, v. to be a spokesman for some god",Kren
"blomblom,",Kren
"bokbok, v. to jabber.",Kren
"briew,",Kren
"bynfiiaw,",Kren
"byrtong, v. to speak as a sorcerer.",Kren
"byther, krenbther, v. to speak at random",Kren
KAI,KREN
SIAR,KREN
"ki, v. to chat,",Kren
"khnium,",Kren khnium
kren khniamkhniam.,khnium
"khraw,",Kren
kren,khraw
"khutia, v. to speak about unnecessary and trifling tbings.",Kren
kren kbylliang.,kren kbyllah
"kulmar, v. to speak as if one is in a confused state of",Kren
kren kulmit.,mif kren kulmar
"dathew,",Kren
"hangamei, v. to speak arrogantly.",Kren
"jakter,",Kren
"japnej,",Kren
"jler, v. to tell stories.",Kren
"lamwir,",Kren
kren lamtbam.,kren lamwir
"laplab, v. to speak witbout due deliberation, to overstate.",Kren
"lkbit,",Kren
"lyngkut, v. to speak bluntly.",Kren
"madan, v. to speak whatever comes before ones mind.",Kren
"nangang, v. to have a bad tongue.",Kren
nangang,kren
"nangbap,",kren
"pankwab, v. to speak as if one courts for an evil tbing.",Kren
"patbdr,",Kren
"sa, v. to speak sulkily.",Kren
"saidlab, v. to continue to press a point after",Kren
"salia, v. to tease.",Kren
saliakrensalait.,Imit kren
"satia, v. to vex, to annoy.",Kren
"siar, v. to backbite.",Kren
SIH,KREN
"sih, v. to use indecent language.",Kren
krentla.,Imit krensih
"tain tain, v. to rate, to chide.",Kren
"thala, v.",Kren
krenthalein.,krenthala
"thanmla, v. to",Kren
kren,thamula
"thawdur, v. to speak",Kren
kren,tliawdur
"tlilia, v. same as Jcrensatia.",Kren
krenthlait.,krenthlia
"thuhkhana, v. to carry",Kren
kren thuh khadeh.,thuh khana
"thurmur,",Kren
"waiwot,",Kren
"weibriew,",Kren
"wohnia,",Kren
"krep, im, ad.",Krep
krep.,fresh as u jhur u dang im krep
stone.,Kria v to sharpen a daw with a small piece of whet
ka shang.,ImU ka kriah
krik,Krik
"kring, ad. sparklingly",Kring
"krip, ad.",Krip
krij.,khfiiang u par krip
ka kram.,Jmit ka kroh
"krop,  jem ad.",Krop
shell,egg
"krup, ",Krup
land cultivation.,Krtid V to scrape the earth lightly for high
ka knab.,krung
"lbong, ka, n. the muscle of the thigh.",Ksang
kbia.,lmit ksam
"rumpei, phr. to win the case at home or when not",Ksan
"blei, ka, n.",Kseh
"ksheit,",Ksheit
ksheit,Yhiteas lieh ksheit
kait.,kum ka khoit
between., a go
ka dhah.,Imit ka ksing
"ngap, ka, n. a beehive.",Ksing
child,Ksiew n a grand
"ksiew, paraksiew, pyrsaksiew.",see khun
"tun, n. a child of a grandchild.",Ksiew
ukhrei.,Imit u ksuid
KTAK,KTAK
"ktak,",Ktak
Matc.,solipieiig ngi lali ban ioh ka rong kaba long ktak
shoi.,Iinit ktah
"kti,",Ktah
"ktar, a. muddy.",Ktar
dar,As ka ktieli kaba klrr
"kti, uha,",Kthang
"father,", n a grand
inlaw.,a father
inlaw.,Kthaw kurim u n a father
field., paddy
ka Iwer.,Imit ktieh
ka thylliej.,Irnit ka ktien
"ktuk, iong, ad. of a dark and dirty",Ktuk
ktuk.,uba iong ktuk
"ktur, ad. like a sulphurous glow",Ktur
ktnr.,as phyrnai ktiir
", v. to court a wrong or bad thing.",Kuah pan
REKUMNO,KUMNO
"kudim, a. very ancient.",Kudim
ka madar.,mit ka kular
kuhnit.,Imit kulmar
kulong., kulong
"rekumno,",Kumno
"kumne, kiba, n. persons of",Kurcto
ka kait.,Iniit ka kuna
kutin.,Imit knnai
ka sem.,ka kup
"kad, ka n. an",Kupar
"ka kmie,",kur
"u kmie, ki kurki kmie.",u kur
kupai.,Imit Kurim
"jingmut,",Kut
"lad,",Kut
kutok kutokkudim.,Imit kutok
"lieng,",Kylla
KABAMUT,KYLLA
KWAH,KYNDANG
"kabamut,",Kylla
kyrjaw.,Imit kyllain
"kyrjaw,",Kyllain
"mongor, ad. crosslegged.",Kyllain
"jainnep, phr. to bo destroyed or annihilated.",Kylla
"jutang,",Kylla
"lyngkot, u,",Kylla
"prah,",Kylla
thew.,pyr
"ktien,",Kylliang
kyrwa.,Imit kylluid
"ad, v. to become swollen as a boil.",Kyn
ka kynda.,Imit ka nar
"kwah, phr. a person who",Kyndang
KYNDONG,KYNDAH
IEB,KYN
"kyndong, a, n. creek and corner.",Kyndah
kynbiang.,Imit kyndiap
"bynriew, v. to regain consciousness, to come to oneself.",Kyndit
theway,out of
kynshrot.,kyndong
"jakpoh,",Kyndoi
ka kynnah.,Imit kyndon
fuls made like a bowl.,Kyndiip kan two palm
hanging.,a over
hdm.,Kynham v to give a warning by shouting hdm
hoi.,Kynhoi v to shout by saying hoi
"in, ka, n. the breadth of a cloth.",Ivyn
"ieb, ad. raised up as the lid or covering.",Ivyn
"ib, v. to crow.",Kyn
jk.,oijk
kynjik.,Imit kynjak
toe,tip
"khaskain, v. to perform a poojah ceremony before occupy",Kynjoh
", ad. up, aloft.",Kynjoifi jrong
"tabah,",Kynjri
"wahdong, u, n. a kind of earing.",Kynjri
"kti,",Kynjut
kyndit.,ImU kynmaw
BYNRIEW,KYNMAW
"bynriew,",Kynmaw
", ad.", jrong
"nut, J",Kyn
we., katdong kaba jroiig X
kynta.,kynnoh
"i, v. to hush, to lull a child.",Kyn
shoot,arrow
ili ia u masi ba u ieng kynreng. ,as  nga ioh
"shing,",Kynrong
ka,kynroh
"prie, v. to have nausea.",Kynroi
kynram.,Imit kynrum
"kynram, hi, n. things lying about in confusion.",Kynrum
kyndiap. ,kynshew
inlaw,brother
inlaw ,sister
"maram, w, n. the spirit",Eyntang
way or,high
ofdoors and,out
"lyngkor,",Kynta
share.,holds and directs the plough
"uiuhmat, a.",Kyntem
lasbes.,eye
khynnah.,Imt kynthei
kynjai.,kynthem
"jymbnin, v. to",Kynther
", ",Kynthrin
i ia u,as  nga ioh
"ad. entirely,",twice 
formed but small,Kyntiak a well
"kurim, v. to perform a marriage ceremony.",Kyntiew
"doh,",Kyntiew
"iing, v.",Kyntiew
iicg,kyntiew
sem.,kyntiew
kyntiaj.,kyntoit
"ka, n. a heap, a mound, earthen wall.",Kynton v to heave i
", ad. like a",Kyntop jrong
jaccefs ki,Blue
lieng ba phong i tupia iba kyntop.,long ki shipai
"tid, v. to sing, to hum",Kyn
"um,",Kyn
inlaw., n a brother
umu iing.,Imit u kyn
"ang, v. to crack.",Kyr
"ah,",Kyr
shaped,ring
